name,latitude,longitude
Daegu,35.866669,128.600006
Ulsan,35.549999,129.316666
Gwangju,35.166668,126.916664
Daejeon,36.351002,127.385002
Busan,35.166668,129.066666
Incheon,37.456257,126.705208
Chungcheongbuk-do,36.981304,127.935905
Gyeonggi-do,37.263573,127.028601
Gyeongsangbuk-do,36.35,128.69
Chungcheongnam-do,36.458833,126.802212
Gangwon-do,37.751591,128.072021
Gyeongsangnam-do,35.179982,128.107621
Seoul,37.532600,127.024612
Sejong,36.59245,127.29223
Jeollabuk-do,35.824224,127.147953
Jeollanam-do,35.166668,126.916664
Jeju,33.399621,126.531188